date,close,target,ma7,ma21,ma50,rsi14,volatility21,lag1,lag5,lag21,momentum5,momentum21,volume_change
2010-03-16,6.589499950408936,6.566999912261963,6.555428504943848,6.219452335720971,6.21459997177124,76.71535795718641,0.016164868953736235,6.55649995803833,6.440999984741211,5.982999801635742,0.1484999656677255,0.6065001487731942,-0.34707387979523474
2010-03-17,6.566999912261963,6.638000011444092,6.56421422958374,6.252333277747745,6.2120399665832515,80.52975025869304,0.01545136345622213,6.589499950408936,6.5254998207092285,5.876500129699707,0.041500091552734375,0.6904997825622559,0.0547610405323653
2010-03-18,6.638000011444092,6.517499923706055,6.592357090541294,6.291499955313546,6.210109968185424,81.57432644106987,0.015055055806345023,6.566999912261963,6.678999900817871,5.815499782562256,-0.0409998893737793,0.8225002288818359,0.15199137377259797
2010-03-19,6.517499923706055,6.523499965667725,6.59121424811227,6.320714246659052,6.208209962844848,65.28142185334974,0.015822198511540805,6.638000011444092,6.591000080108643,5.90399980545044,-0.07350015640258789,0.6135001182556143,0.7734451237727282
2010-03-22,6.523499965667725,6.4629998207092285,6.568999971662249,6.351547581808908,6.208679962158203,63.616309415408914,0.015698556855000476,6.517499923706055,6.55649995803833,5.875999927520752,-0.03299999237060547,0.6475000381469727,-0.39546322290847835
2010-03-23,6.4629998207092285,6.401999950408936,6.550714220319476,6.378333296094622,6.204419956207276,58.873087504005014,0.016009672917111976,6.523499965667725,6.589499950408936,5.9004998207092285,-0.12650012969970792,0.5625,-0.21739049671211497
2010-03-24,6.401999950408936,6.736499786376953,6.528642790658134,6.404047579992385,6.202149953842163,48.605583744222095,0.016121906230025844,6.4629998207092285,6.566999912261963,5.861999988555908,-0.16499996185302646,0.5399999618530282,0.11471363129287226
2010-03-25,6.736499786376953,6.752999782562256,6.549642767224993,6.439785662151518,6.20952995300293,62.185927390546084,0.01892842612064306,6.401999950408936,6.638000011444092,5.986000061035156,0.09849977493286133,0.7504997253417969,2.45149476194532
2010-03-26,6.752999782562256,6.75600004196167,6.576214177267892,6.479928516206288,6.215479946136474,60.756192149033495,0.01847114823932579,6.736499786376953,6.517499923706055,5.909999847412109,0.23549985885620117,0.8429999351501465,-0.5949499062284078
2010-03-29,6.75600004196167,6.828999996185303,6.593071324484689,6.5197380383809405,6.223249950408936,64.4628095554819,0.018489483098187785,6.752999782562256,6.523499965667725,5.920000076293945,0.2325000762939453,0.8359999656677246,-0.2952922003746744
2010-03-30,6.828999996185303,6.78849983215332,6.637571334838867,6.548404693603516,6.232689952850341,64.08353033745456,0.015355170466031623,6.75600004196167,6.4629998207092285,6.227000236511231,0.3660001754760742,0.6019997596740714,0.3384123279085349
2010-03-31,6.78849983215332,6.590499877929688,6.675428458622524,6.572785627274286,6.240849952697754,55.67651025557867,0.015497989424260483,6.828999996185303,6.401999950408936,6.276500225067139,0.3864998817443839,0.5119996070861816,-0.257093028888853
2010-04-01,6.590499877929688,6.57450008392334,6.693642752511161,6.586880865551176,6.246879949569702,49.97672396845469,0.017094249132628726,6.78849983215332,6.736499786376953,6.29449987411499,-0.14599990844726474,0.29600000381469815,0.9097074294657219
2010-04-05,6.57450008392334,6.777999877929688,6.718285628727505,6.593928496042888,6.251749954223633,50.85227849993205,0.01657296955086684,6.590499877929688,6.752999782562256,6.426499843597412,-0.17849969863891602,0.14800024032592773,-0.3379658084636573
